FILIAL	SEQ. SKU(s)	DESCRIÇÃO	EAN	UND EAN	DUN	UND DUN
101	01.01.0001	MASSA CONGELADA DE PAO FRANCES RAPIDA - 5KG	7898694171204	PT		N/A
101	01.01.0002	MASSA CONGELADA DE PAO FRANCES MEDIA - 5KG	7898694171211	PT		N/A
101	01.02.0001	MASSA CONGELADA DE MINI PAO FRANCES RAPIDA - 5KG	7898694171266	PT		N/A
101	01.02.0003	MASSA CONGELADA DE MINI PAO FRANCES INTEGRAL RAPIDA - 5KG	7898694171273	PT	17898694171270	N/A
101	01.02.0005	MASSA CONGELADA DE PAO FRANCES INTEGRAL RAPIDA - 5KG	7898694171235	PT	17898694171232	N/A
101	01.02.0007	MASSA CONGELADA DE PAO FRANCES COM GRAOS RAPIDA - 5KG	7898694171341	PT		N/A
101	01.02.0009	MASSA CONGELADA DE BAGUETE RAPIDA - 5KG	7898694171327	PT		N/A
101	01.02.0011	MASSA CONGELADA DE MINI BAGUETE RAPIDA - 5KG	7898694171280	PT		N/A
101	01.03.0019	MASSA CONGELADA DE ROSCA LISA (PAO DE LEITE) - CX 10 KG - 2 UN DE 5KG	7898694170801	PT	27898694170805	N/A
101	01.04.0001	MASSA CONGELADA DE PAO DE QUEIJO TRADICIONAL PEQUENO 30G - 7KG	7898694170238	PT		N/A
101	01.04.0003	MASSA CONGELADA DE PAO DE QUEIJO EMPANADO BENJAMIN DE 15G - 4 KG	7898694171594	PT		N/A
101	01.04.0004	MASSA CONGELADA DE PAO DE QUEIJO EMPANADO BENJAMIN DE 80G - 4 KG	7898694173031	PT		N/A
101	01.04.0005	MASSA CONGELADA DE PAO DE QUEIJO RECHEADO COM GOIABADA 100G - 1KG	7898694171600	PT		N/A
101	01.04.0006	MASSA CONGELADA DE PAO DE QUEIJO RECHEADO COM REQUEIJAO BENJAMIN DE 100G - 1 KG	7898694171617	PT	27898694171611	N/A
101	01.04.0008	PAO DE QUEIJO EMPANADO 30G - CX 10KG - 5 UN DE 2KG	7898694170306	PT	17898694170303	CAIXA
101	01.04.0009	PAO DE QUEIJO MULTIGRAOS EMPANADO 30G - CX 10KG - 5 UN DE 2KG	7898694170313	PT	17898694170310	CAIXA
101	01.03.0021	MASSA CONGELADA DE PAO DE RABANADA - CX 25KG - 5 UN DE 5KG		N/A	7898059712912	CAIXA
101	01.04.0002	MASSA CONGELADA DE PAO DE QUEIJO TRADICIONAL GRANDE 90G - 7KG	7898694171570	PT		N/A
101	01.04.0014	MASSA CONGELADA DE PAO DE QUEIJO ST MARCHE 30G - CX 8KG - 20 UN DE 400G	7898694172591	PT		N/A
101	01.04.0019	MASSA CONGELADA DE CHIPA QUEIJO CANASTRA 45G - 4KG	7898694172454	PT		N/A
101	01.04.0020	MASSA CONGELADA DE BISCOITO PALITO 3 QUEIJOS 45G - 4KG	7898694172447	PT		N/A
101	01.04.0021*	MASSA CONGELADA DE PÃO DE QUEIJO RECHEADO DE GOIABADA 65G - 2KG	7898694172010	PT	97898694172013	CAIXA
