sku	descricao	medida_cx	cubagem	peso_cx	padrao_plt	conversao	categoria
01.01.0001	MASSA CONGELADA DE PAO FRANCES RAPIDA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	A
01.01.0002	MASSA CONGELADA DE PAO FRANCES MEDIA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	B
01.02.0001	MASSA CONGELADA DE MINI PAO FRANCES RAPIDA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	B
01.02.0003	MASSA CONGELADA DE MINI PAO FRANCES INTEGRAL RAPIDA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	C
01.02.0005	MASSA CONGELADA DE PAO FRANCES INTEGRAL RAPIDA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	B
01.02.0007	MASSA CONGELADA DE PAO FRANCES COM GRAOS RAPIDA - 5KG	37x36x9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	B
01.02.0011	MASSA CONGELADA DE MINI BAGUETE RAPIDA - 5KG	PCT		0	18X12+4 = 220	220	C
01.03.0019	ROSCA LISA (PAO DE LEITE) - CX 10 KG -2 UN DE 5 KG	39X30X23	0.02691	10.53	LASTRO 10x7 = 70	70	C
01.04.0008	PAO DE QUEIJO EMPANADO 30G - CX 10KG - 5 UN DE 2KG	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	B
01.04.0009	PAO DE QUEIJO MULTIGRAOS EMPANADO 30G - CX 10KG - 5 UN DE 2KG	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D
01.04.0014	MASSA CONG. DE PAO DE QJ ST MARCHE 30G - CX 8KG - 20 UN DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	C
01.04.0025	M. CONG. DE CHIPA QJ CANASTRA ST MARCHE 45G - 20 PCTS DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D
01.04.0026	M. CONG. DE BISC. PALITO 3 QJ ST MARCHE 45G - 20 PCTS DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D
01.04.0054	PAO DE QJ RECH. DE GOIABADA ST MARCHE 30G - 20 PCTS DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D
