sku	descricao	medida_cx	cubagem	peso_cx	padrao_plt	conversao	categoria	pedido_med_abril	pedido_max_abril	media_5_dias	estoque_ideal_max	estoque_ideal_med	estoque_ideal_min	dias_estoque_max	dias_estoque_med	dias_estoque_min	posicoes_max	posicoes_med	posicoes_min	estoque_atual	posicao_atual	status_condicional
01.01.0001	MASSA CONGELADA DE PAO FRANCES RAPIDA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	A	6354	10156	6284	25137	18853	12568	4	3	2	114	86	57	4840	22	Vermelho
01.01.0002	MASSA CONGELADA DE PAO FRANCES MEDIA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	B	956	1732	1115	7803	5574	3344	7	5	3	35	25	15	440	2	Vermelho
01.02.0001	MASSA CONGELADA DE MINI PAO FRANCES RAPIDA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	B	106	205	94	660	471	283	7	5	3	3	2	1	1660	8	Excedido
01.02.0003	MASSA CONGELADA DE MINI PAO FRANCES INTEGRAL RAPIDA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	C	21	33	15	135	90	60	9	6	4	1	1	1	72	1	Verde
01.02.0005	MASSA CONGELADA DE PAO FRANCES INTEGRAL RAPIDA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	B	150	308	158	1103	788	473	7	5	3	5	4	2	304	1	Vermelho
01.02.0007	MASSA CONGELADA DE PAO FRANCES COM GRAOS RAPIDA - 5KG	37x36x9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	B	303	558	217	1518	1084	650	7	5	3	7	5	3	180	1	Vermelho
01.02.0011	MASSA CONGELADA DE MINI BAGUETE RAPIDA - 5KG	PCT			18X12+4 = 220	220	C	11	44	10	90	60	40	9	6	4	1	1	1	36	1	Verde
01.03.0019	ROSCA LISA (PAO DE LEITE) - CX 10 KG -2 UN DE 5 KG	39X30X23	0.02691	10.53	LASTRO 10x7 = 70	70	C	27	63	25	223	149	99	9	6	4	3	2	1	169	2	Verde
01.04.0008	PAO DE QUEIJO EMPANADO 30G - CX 10KG - 5 UN DE 2KG	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	B	227	367	229	1603	1145	687	7	5	3	23	16	10	280	4	Vermelho
01.04.0009	PAO DE QUEIJO MULTIGRAOS EMPANADO 30G - CX 10KG - 5 UN DE 2KG	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D	3	7	5	18	14	9	4	3	2	1	1	1	0	1	Verde
01.04.0014	MASSA CONG. DE PAO DE QJ ST MARCHE 30G - CX 8KG - 20 UN DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	C	31	80	33	297	198	132	9	6	4	4	3	2	67	1	Vermelho
01.04.0025	M. CONG. DE CHIPA QJ CANASTRA ST MARCHE 45G - 20 PCTS DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D	6	13	9	34	26	17	4	3	2	1	1	1	36	1	Verde
01.04.0026	M. CONG. DE BISC. PALITO 3 QJ ST MARCHE 45G - 20 PCTS DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D	5	12	5	20	15	10	4	3	2	1	1	1	35	1	Verde
01.04.0054	PAO DE QJ RECH. DE GOIABADA ST MARCHE 30G - 20 PCTS DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D	0		0	0	0	0	4	3	2	1	1	1	34	1	Verde
01.04.0055	PAO DE QJ RECHEADO DE REQ. ST MARCHE 30G - 20 PCTS DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D	8	20	8	32	24	16	4	3	2	1	1	1	86	1	Verde
01.04.0058	MASSA CONGELADA DE PÃO DE QUEIJO TRAD. PEQUENO- CX 10 KG- 5UN DE 2 KG	CX			10X7 = 70	70	C	22	48	24	213	142	95	9	6	4	3	2	1	53	1	Amarelo
01.04.0060	MASSA CONGELADA DE PAO DE QUEIJO RECHEADO COM REQUEIJAO - CX 10 KG - 5 UN DE 2 KG	CX			10X7 = 70	70	D	2	5	1	4	3	2	4	3	2	1	1	1	23	1	Verde
01.04.0061	MASSA CONGELADA DE CHIPA TRADICIONAL - CX 10 KG - 5 UN DE 2 KG	CX			10X7 = 70	70	D	2	2	2	8	6	4	4	3	2	1	1	1	20	1	Verde
01.04.0062	MASSA CONGELADA DE PÃO DE QUEIJO TRADICIONAL GRANDE - CX 10 KG - 5 UN DE 2 KG	CX			10X7 = 70	70	D	3	7	6	25	19	13	4	3	2	1	1	1	34	1	Verde
01.04.0063	MASSA CONGELADA DE CHIPA QUEIJO CANASTRA 45G - 4KG CX	CX			10X7 = 70	70	C	26	109	24	216	144	96	9	6	4	3	2	1	59	1	Amarelo
01.04.0064	MASSA CONGELADA DE BISCOITO PALITO 3 QUEIJOS 45G - 4KG CX	CX			10X7 = 70	70	C	39	155	22	200	134	89	9	6	4	3	2	1	35	1	Amarelo
01.04.0066	PAO DE QUEIJO RECHEADO COM REQUEIJÃO 65G - 2KG	CX			10X7 = 70	70	B	167	399	113	792	566	340	7	5	3	11	8	5	200	3	Vermelho
01.04.0067	MASSA CONGELADA DE PAO DE QUEIJO RECHEADO COM GOIABADA - CX 10 KG – 5 UN DE 2 KG	CX			10X7 = 70	70	C	26	89	12	108	72	48	9	6	4	2	1	1	144	2	Verde
01.04.0068	MASSA CONGELADA DE PÃO DE QUEIJO COQUETEL EMPANADO - CX 10KG - 5 UN	CX			10X7 = 70	70	D	2	4	1	6	4	3	4	3	2	1	1	1	23	1	Verde
01.06.0001	CIABATTA TRADICIONAL - 10UN - PCT 1 KG - CX 4 KG	30x49x30	0.0441	4.29	8X5=40	40	C	20	108	12	108	72	48	9	6	4	3	2	1	31	1	Amarelo
01.06.0002	CIABATTA MULTIGRAOS - 10UN - 1KG	30x49x30	0.0441	4.29	8X5=40	40	D	2	4	0	0	0	0	4	3	2	1	1	1	32	1	Verde
